Date,Open,High,Low,Close,Volume,MA7,MA21,MA50,RSI,MACD,MACD_Signal,MACD_Hist,Day_of_Week,Month,Year
2015-12-03,359.33099365234375,370.2749938964844,357.4119873046875,361.0459899902344,50714900,363.82271902901783,340.9826180594308,327.06920043945314,58.079056101669096,10.299662168919156,8.50625435429614,1.7934078146230163,3,12,2015
2015-12-04,361.2619934082031,363.5159912109375,355.7569885253906,363.1830139160156,35784100,364.5571507045201,342.24119059244794,329.24646057128905,58.8630889557123,10.272454712014337,8.85949442583978,1.4129602861745578,4,12,2015
2015-12-05,363.72100830078125,389.7850036621094,363.22900390625,388.9490051269531,66282200,369.0668640136719,344.90990484328495,331.76806091308595,66.90095591402235,12.189480023721956,9.525491545416216,2.6639884783057397,5,12,2015
2015-12-06,389.55499267578125,402.8089904785156,387.0889892578125,388.7829895019531,77762000,371.56529017857144,348.17738124302457,334.13092041015625,66.81037434587377,13.53926806681227,10.328246849695427,3.2110212171168424,6,12,2015
2015-12-07,389.9779968261719,399.968994140625,385.4110107421875,395.5360107421875,63455800,374.1674325125558,351.2623814174107,336.8087805175781,68.66869167366575,14.981203207294186,11.258838121215181,3.722365086079005,0,12,2015
2015-12-08,395.7539978027344,415.56298828125,389.95001220703125,415.56298828125,57801400,381.74957275390625,355.09423828125,339.85130004882814,73.42149691645506,17.53779215856798,12.514628928685742,5.02316322988224,1,12,2015
2015-12-09,414.4410095214844,423.1199951171875,406.2909851074219,417.56298828125,90917200,390.0889979771205,359.04533313569567,342.81329956054685,73.84814834137285,19.500500970436974,13.91180333703599,5.588697633400985,2,12,2015
2015-12-10,417.9880065917969,419.5090026855469,411.5480041503906,415.47900390625,52138900,397.8651428222656,363.2991434733073,345.7974395751953,72.54144195673322,20.649764095457556,15.259395488720305,5.390368606737251,3,12,2015
2015-12-11,415.281005859375,451.93798828125,415.281005859375,451.93798828125,110944000,410.544424874442,369.4856189546131,349.35573913574217,79.4067269691882,24.22326798576762,17.05216998812977,7.171097997637851,4,12,2015
2015-12-12,452.3349914550781,469.1029968261719,410.7409973144531,434.99700927734375,131969000,417.1227111816406,374.6318097795759,352.52575927734375,70.57672198034462,25.395555979450933,18.720847186394003,6.674708793056929,5,12,2015
2015-12-13,431.6600036621094,441.67999267578125,426.26800537109375,433.7550048828125,55050600,423.5472848074777,379.8327142624628,355.5677795410156,69.96248187030085,25.925529914773506,20.161783732069907,5.763746182703599,6,12,2015
2015-12-14,433.2720031738281,447.1419982910156,430.45599365234375,444.1820068359375,130496000,430.4967128208705,385.6010960170201,358.77781982421874,72.15360449086651,26.877087656204026,21.504844516896732,5.372243139307294,0,12,2015
2015-12-15,443.87799072265625,465.3210144042969,443.87799072265625,465.3210144042969,83121104,437.6050022670201,392.51895432245163,362.3782403564453,75.9792066678222,29.002621104017862,23.00439983432096,5.998221269696902,1,12,2015
2015-12-16,465.2080078125,465.2080078125,443.85101318359375,454.9339904785156,107944000,442.9437168666295,398.55362083798366,365.6011602783203,70.83001151024379,29.508816385530224,24.305283144562814,5.20353324096741,2,12,2015
2015-12-17,454.7770080566406,457.8599853515625,448.8580017089844,456.0780029296875,47978400,448.7435738699777,403.4771452404204,368.6303601074219,71.06262135277888,29.660385575007695,25.376303630651794,4.284081944355901,3,12,2015
2015-12-18,455.84698486328125,465.177001953125,454.94000244140625,463.6159973144531,60220100,450.41186087472096,408.5044788178943,371.6255798339844,72.61235229404619,30.042447761844528,26.309532456890345,3.732915304954183,4,12,2015
2015-12-19,463.552001953125,465.58099365234375,456.7650146484375,462.3219909667969,47892700,454.3154296875,413.5016682942708,374.31171936035156,71.9004928277372,29.89619457836403,27.026864881185084,2.869329697178948,5,12,2015
2015-12-20,462.2340087890625,462.6449890136719,434.3380126953125,442.68499755859375,75409400,455.5911429268973,416.9012393043155,376.882099609375,61.971621367128726,27.874427572095442,27.19637741936716,0.6780501527282823,6,12,2015
2015-12-21,442.8380126953125,444.72900390625,427.31201171875,438.6390075683594,77639696,454.7992858886719,419.8211437406994,379.146259765625,60.1292042055469,25.650007752326815,26.88710348595909,-1.2370957336322768,0,12,2015
2015-12-22,437.4360046386719,443.68798828125,435.5159912109375,436.5719909667969,50840400,450.6922825404576,423.3489525204613,380.6539196777344,59.16150985700571,23.450030697371176,26.19968892824151,-2.7496582308703346,1,12,2015
2015-12-23,436.7200012207031,444.52899169921875,436.6189880371094,442.4010009765625,47161400,448.90185546875,427.3115234375,381.4335998535156,61.06448949649207,21.924157385038257,25.34458261960086,-3.420425234562604,2,12,2015
2015-12-24,443.09100341796875,458.45599365234375,443.0769958496094,454.9849853515625,57157200,448.74571010044644,431.7848089308966,382.3020397949219,64.8702984007665,21.482675254178673,24.572201146516427,-3.089525892337754,3,12,2015
2015-12-25,454.8550109863281,458.30499267578125,452.07501220703125,455.65301513671875,39078500,447.60814121791293,436.18814232235866,383.6880200195312,65.06551546783474,20.945258009111058,23.846812519035353,-2.9015545099242956,4,12,2015
2015-12-26,455.7560119628906,457.489013671875,405.760009765625,417.27398681640625,116166000,441.17271205357144,437.53695097423736,384.5440997314453,48.41846855039921,17.22393730427126,22.522237476082537,-5.298300171811277,5,12,2015
2015-12-27,416.5140075683594,424.0069885253906,408.88299560546875,422.822998046875,53591200,438.3352835518973,439.15790376209077,385.2709197998047,50.39462523563326,14.554744630211644,20.92873890690836,-6.373994276696717,6,12,2015
2015-12-28,423.3429870605469,429.7690124511719,418.4809875488281,422.27899169921875,49638600,435.9981384277344,440.43137904575894,386.2491394042969,50.19160874952359,12.25423425522132,19.193837976570954,-6.939603721349634,0,12,2015
2015-12-29,422.0979919433594,432.9830017089844,420.62701416015625,432.9830017089844,51596500,435.4854256766183,441.26090349469865,387.30365966796876,54.109040571337566,11.166071833939895,17.588284748044742,-6.422212914104847,1,12,2015
2015-12-30,433.29998779296875,434.3869934082031,422.0840148925781,426.6199951171875,46889400,433.23099626813615,441.6921895345052,389.0996795654297,51.515247801940355,9.678683977078094,16.006364593851412,-6.327680616773318,2,12,2015
2015-12-31,425.875,432.9209899902344,418.7349853515625,430.5669860839844,45996600,429.74271065848217,442.41066487630206,391.4893389892578,53.0196707206934,8.71791289595285,14.548674254271699,-5.830761358318849,3,12,2015
2016-01-01,430.72100830078125,436.2460021972656,427.5150146484375,434.3340148925781,36278900,426.69713919503346,441.57238042922245,393.41297912597656,54.471662135669824,8.166326308338455,13.272204665085052,-5.105878356746597,4,1,2016
2016-01-02,434.62200927734375,436.06201171875,431.8699951171875,433.43798828125,30096600,429.0062822614397,441.4981413341704,395.34667907714845,54.04380325915571,7.569630120462421,12.131689756160526,-4.562059635698105,5,1,2016
2016-01-03,433.5780029296875,433.7430114746094,424.70599365234375,430.010986328125,39633800,430.0331377301897,441.3198547363281,397.2887786865234,52.35014443007863,6.742490442869098,11.05384989350224,-4.311359450633143,6,1,2016
2016-01-04,430.0610046386719,434.5169982910156,429.0840148925781,433.09100341796875,38477500,431.5777108328683,440.79171171642486,399.5472790527344,53.7529187678902,6.263308406988699,10.095741596199533,-3.8324331892108336,0,1,2016
2016-01-05,433.0690002441406,434.1820068359375,429.6759948730469,431.9599914550781,34522600,431.4315665108817,439.20309157598587,401.5714587402344,53.13433259325684,5.726280975490113,9.221849472057649,-3.495568496567536,1,1,2016
2016-01-06,431.8559875488281,431.8559875488281,426.34100341796875,429.1050109863281,34042500,431.7865687779018,437.97314017159596,403.4516790771484,51.52251519119213,5.012528494894411,8.379985276625002,-3.3674567817305903,2,1,2016
2016-01-07,430.010986328125,458.7659912109375,429.0769958496094,458.0480041503906,87562200,435.7124285016741,438.06694975353423,405.92083923339845,63.583104192680175,6.705040638627679,8.044996349025537,-1.3399557103978577,3,1,2016
2016-01-08,457.5379943847656,462.9339904785156,447.93798828125,453.2300109863281,56993000,438.411856515067,437.5723789760045,408.4624597167969,60.868368691494,7.570330861927914,7.950063251606013,-0.3797323896780984,4,1,2016
2016-01-09,453.38299560546875,454.6400146484375,446.8890075683594,447.6109924316406,32278000,440.4365713936942,436.8718552362351,410.97423950195315,57.7704466075406,7.713752424402571,7.902801086165325,-0.1890486617627536,5,1,2016
